Date,Open,High,Low,Close,Volume
12/2/20,336.83,338.04,334.14,337.7,"363,350"
12/1/20,337.55,339.93,335.83,338.11,"718,925"
11/30/20,333.24,335.5,328.8,335.33,"390,303"
11/27/20,332.54,334.1,332.27,333.09,"217,870"
11/25/20,330.33,331.37,329,330.64,"317,124"
11/24/20,326.59,329.67,323.96,329.1,"475,790"
11/23/20,326.05,327.85,322.5,325.24,"414,732"
11/20/20,327.86,328.5,324.91,325.03,"320,194"
11/19/20,324.23,327.95,322.6,327.66,"307,542"
11/18/20,327.39,328.53,324.11,324.11,"364,748"
11/17/20,327.11,329.18,325.56,327.52,"374,232"
11/16/20,326.25,329,324.4,328.47,"551,566"
11/13/20,325.05,325.88,322.16,325.27,"313,125"
11/12/20,325.57,327.11,321.36,322.73,"372,487"
11/11/20,321.05,326.22,320.47,325.26,"683,508"
11/10/20,320.85,323.19,314.58,317.5,"1,256,675"
11/9/20,336.25,336.25,323.64,324.2,"905,218"
11/6/20,325.36,328.38,321.24,327.62,"489,322"
11/5/20,323.99,326.69,323.1,326.1,"929,985"
11/4/20,313.35,318.17,310,316.04,"919,849"
11/3/20,300.83,306.07,299.63,304.02,"897,154"
11/2/20,300.38,302.45,295.41,298.61,"619,406"
10/30/20,301.05,302.58,294.79,297.99,"842,579"
10/29/20,301.99,308.28,301.48,304.88,"734,809"
10/28/20,307.22,307.31,300.02,300.62,"803,662"
10/27/20,313.29,314.29,311.67,313.12,"412,119"
10/26/20,315.36,317.63,307.84,311.72,"601,252"
10/23/20,319.28,319.81,315.99,318.6,"261,461"
10/22/20,320.17,321.37,314.73,318.79,"452,252"
10/21/20,320.88,323.49,319.4,320.06,"322,250"
10/20/20,321.93,324.61,319.7,321.21,"820,950"
10/19/20,327.79,328.97,319.67,320.8,"536,796"
10/16/20,328.57,329.73,325.78,325.78,"398,543"
10/15/20,322.23,327.32,321.13,326.82,"581,839"
10/14/20,330.89,332.29,325.55,328.06,"1,087,658"
10/13/20,332.69,333.37,328.78,329.91,"948,355"
10/12/20,328.33,333.46,326.22,331.52,"655,980"
10/9/20,319.78,323.37,319.63,323.37,"442,603"
10/8/20,319.31,319.69,317.15,318,"1,189,139"
10/7/20,313.93,317.19,313.93,316.61,"532,870"
10/6/20,314.41,317.74,309.43,310.73,"627,489"
10/5/20,310.41,315.07,310.41,315.07,"721,833"
10/2/20,307.96,313.13,306.85,308.07,"1,038,564"
10/1/20,315.59,316.18,313.43,315.33,"701,291"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
